format,name,author,rating,date,recommended,,
Digital,Éramos unos niños,Patti Smith,3.5,Septiembre 2020,"","",""
Digital,De qué hablamos cuando hablamos de amor,Raymond Carver,4.0,Junio 2020,1,,
Digital,La peste,Albert Camus,4.0,Mayo 2020,1,,
Digital,La metamorfósis,Franz Kafka,4.0,Mayo 2020,"","",""
Digital,The Doors of Perception,Aldous Huxley,4.0,Abril 2020,,,
Digital,Ego is the Enemy,Ryan Holiday,3.0,Abril 2020,,,
Digital,Atomic Habits,James Clear,3.0,Abril 2020,,,
Digital,Adiós a las armas,Ernest Hemingway,3.5,Abril 2020,,,
Digital,Enquiridión,Epicteto,3.0,Abril 2020,,,
Digital,How to Be a Stoic,Massimo Pugliucci,3.0,Abril 2020,,,
Digital,Meditaciones,Marcus Aurelius,4.0,Marzo 2020,,,
Digital,Show Your Work!,Austin Kleon,2.5,Febrero 2020,,,
Digital,The Subtle Art of Not Giving A Fuck,Mark Manson,3.0,Febrero 2020,,,
Digital,Models,Mark Manson,3.5,Febrero 2020,,,
Físico,El retrato de Dorian Grey,Oscar Wilde,4.0,Enero 2020,,,
Digital,The Obstacle is the Way,Ryan Holiday,3.0,Enero 2020,,,
Físico,Ficciones,Jorge Luis Borges,4.5,Diciembre 2019,1,,
Digital,La sabiduria de la Inseguridad,Alan Watts,3.0,Diciembre 2019,,,
Digital,A Guide to the Good Life,William B. Irvine,3.0,Junio 2019,,,
Digital,Do the Work,Steven Pressfield,2.0,Junio 2019,,,
Digital,How to Win Friends and Influence People,Dale Carnegie,2.5,Mayo 2019,,,
Digital,La negación de la muerte,Ernest Becker,4.5,Mayo 2019,1,,
Digital,El proceso,Franz Kafka,4.0,Mayo 2019,,,
Digital,La caída,Albert Camus,3.5,Mayo 2019,,,
Digital,Memorias del subsuelo,Fyodor Dostoyevski,3.0,Mayo 2019,,,
Físico,La nausea,Jean-Paul Sartre,4.0,Marzo 2019,,,
Físico,Cien años de soledad,Gabriel García Marquez,5.0,Marzo 2019,1,,
Físico,Stoner,"John Williams ",4.5,Enero 2019,1,,
Digital,Hombres sin mujeres,Haruki Murakami,4.0,Enero 2019,,,
Digital,Los años de peregrinación del chico sin color,Haruki Murakami,3.5,Julio 2018,,,
Digital,"Criminal, Vol. 1",Ed Brubaker,4.0,Julio 2017,,,
Digital,Satanás,Mario Mendoza,3.5,Abril 2017,1,,
Físico,El olvido que seremos,Héctor Abad Faciolince,3.5,Marzo 2017,,,
Físico,Leviatán,Paul Auster,4.0,Diciembre 2016,,,
Físico,El túnel,Ernesto Sabato,5.0,Marzo 2016,1,,
Físico,Por quíen doblan las campanas,Ernest Hemingway,5.0,Marzo 2016,1,,
Digital,Adulterio,Paulo Coelho,1.0,Enero 2016,,,
Digital,El cartero siempre llama dos veces,James M. Cain,4.0,Enero 2016,,,
Digital,Tales of the Madman Underground,John Barnes,3.5,Noviembre 2015,,,
Digital,Me and Earl and the Dying Girl,Jesse Andrews,3.0,Julio 2015,,,
Digital,Title Pending: Things I Think About When I Make Stuff,Justin McRoberts,2.5,Julio 2015,,Digital,Ficción
Digital,You're Not Much Use to Anyone,David Shapiro,1.5,Julio 2015,,,
Digital,El marciano,Andy Weir,3.5,Febrero 2015,,,
Físico,Paper Towns,John Green,2.0,Octubre 2014,,,
Digital,Norwegian Wood,Haruki Murakami,4.0,Octubre 2014,,,
Físico,Dune,Frank Herbert,5.0,Octubre 2014,1,,
Digital,Y: The Last Man,Brian K. Vaughan,4.5,Septiembre 2014,1,,
Digital,Eleanor & Park,Rainbow Rowell,3.0,Julio 2014,,,
Físico,El extranjero,Albert Camus,4.5,Julio 2014,1,,
Digital,Logan's Run,William F. Nolan,3.5,Junio 2014,,,
Físico,Viaje al centro de la tierra,Julio Verne,3.5,Junio 2014,,,
Físico,Bajo la misma estrella,John Green,2.5,Junio 2014,,,
Físico,1984,George Orwell,5.0,Abril 2014,1,,
Digital,La máquina del tiempo,H. G. Wells,3.5,Enero 2014,,,
Físico,El viejo y el mar,Ernest Hemingway,4.0,Enero 2014,,,
Físico,La vida del Lazarillo de Tormes,Anónimo,4.0,Diciembre 2013,,,
Físico,El guardián entre el centeno,J. D. Salinger,5.0,Octubre 2013,,,
Físico,Las aventuras de Tom Sawyer,Charles Dickens,4.0,Octubre 2013,,,
Físico,Canción de navidad,Charles Dickens,3.5,Septiembre 2013,,,
Físico,El ángel caído,Boris Akunin,3.0,Julio 2013,,,
Digital,Forastero en tierra extraña,Robert A. Heinlein,3.5,Julio 2013,,,
Digital,Cada siete olas,Daniel Glattauer,2.0,Junio 2013,,,
Digital,Contra el viento del norte,Daniel Glattauer,2.5,Junio 2013,,,
Digital,Las ventajas de ser un marginado,Stephen Chbosky,3.0,Marzo 2013,,,
Digital,La senda del perdedor,Charles Bukowski,4.0,Enero 2013,,,
Digital,Maldito Karma,David Safier,3.5,Enero 2013,,,